title,description,directions
TITLE:  FRENCH PIRATE,"DESCRIPTION: Cheers  to  Jean  LaFitte, the  Gentleman  Pirate  of  New
Orleans! 

1/2 ounce orange curacao 
1 ounce dark rum
Champagne","DIRECTIONS:  Pour curacao into champagne flute.
 Add rum.
 Top with champagne."
TITLE:  ORIGINAL SIN,"DESCRIPTION: Harder to resist than that first bite of the apple.

3/4 ounce triple sec
1 1/2 ounces brandy 
1 1/2 ounces cherry liqueur 
Splash of sour mix
Dash of grenadine
6 ounces champagne","DIRECTIONS:  Fill a hurricane glass with crushed ice.
 Add triple sec, brandy, cherry liqueur, sour mix,

and grenadine.

 Stir.
 Top with champagne.
 Garnish with orange, lemon, and lime slices."
TITLE:  ORIGINAL MARTINI ,"DESCRIPTION: Simple, classic, elegant. Your  dad  definitely  wants  one.
Make it a double.

1 1/2 ounces gin 
Dry vermouth to taste ","DIRECTIONS:  Fill cocktail shaker with ice.
 Add gin and vermouth.
 Stir.
 Strain into a martini glass.
 Garnish with an olive."
TITLE:  VESPER MARTINI,"DESCRIPTION: Fear  not, noble  churchgoer—this  is  not  a  mischievous
addition to your church potluck, but a libation that pays
homage  to  James  Bond’s  leggy  love  interest  in  Casino
Royale.

3 ounces gin
1 ounce vodka
1/2 ounce Lillet blonde ","DIRECTIONS:  Fill cocktail shaker with ice.
 Add gin, vodka, and Lillet blonde.
 Shake.
 Strain into a chilled martini glass.
 Garnish with a slice of lemon peel."
TITLE:  VODKA MARTINI,"DESCRIPTION: Drink  of  choice  for  a  certain  British  secret  agent. Order
this, and you have a license to swill.

1 1/2 ounces vodka 
Dash dry vermouth ","DIRECTIONS:  Fill cocktail shaker with ice.
 Add vodka and vermouth.
 Stir.
 Strain into a chilled martini glass.
 Garnish with an olive."
TITLE:  ALGONQUIN,"DESCRIPTION: Best enjoyed while seated at a round table, arguing litera-
ture with your crowd’s Dorothy Parker.

1 1/2 ounces whiskey 
1 ounce dry vermouth to taste 
1 ounce pineapple juice","DIRECTIONS:  Fill cocktail shaker with ice
 Add whiskey, vermouth, and pineapple juice.
 Shake.
 Strain into a chilled martini glass."
"TITLE:  BLACK AND WHITE

MARTINI","DESCRIPTION: The  perfect  accompaniment  for  the  man  who  prefers  a
martini that matches his tuxedo.

3 ounces vanilla-flavored vodka 
1 ounce crème de cacao ","DIRECTIONS:  Fill cocktail shaker with ice.
 Add vodka and crème de cacao.
 Shake.
 Strain into a chilled martini glass.
 Garnish with black and white licorice candies."
TITLE:  CABARET MARTINI,"DESCRIPTION: Mix  them  up, pop  in  the  Liza  video, practice  your  Fosse
moves. Tuxedo tap pants? A must.

3 ounces gin 
1 1/2 ounces red Dubonnet 
4 dashes Angostura bitters 
4 dashes Pernod","DIRECTIONS:  Fill cocktail shaker with ice.
 Add gin, Dubonnet, bitters, and Pernod.
 Shake.
 Strain into a chilled martini glass.
 Garnish with a lime twist."
TITLE:  COLONY CLUB MARTINI,"DESCRIPTION: Perfect for the hidden British expatriate in all of us.

3 ounces gin 
1 teaspoon Pernod 
4 dashes orange bitters","DIRECTIONS:  Fill cocktail shaker with ice.
 Add gin, Pernod, and bitters.
 Shake.
 Strain into a chilled martini glass.
 Garnish with an orange twist."
TITLE:  DEEP SEA MARTINI,"DESCRIPTION: Passing this one up would be unfathomable. Enjoy with a
viewing of Jaws or, if you’re parental, the 500th viewing of
Finding Nemo.

3 ounces gin 
1 ounce dry vermouth
1/2 teaspoon Pernod 
Dash orange bitters","DIRECTIONS:  Fill cocktail shaker with ice.
 Add gin, vermouth, Pernod, and bitters.
 Stir.
 Strain into a chilled martini glass."
TITLE:  DUSTY MARTINI,"DESCRIPTION: Ideal for long walks with the son of a preacher man.

2 ounces gin 
Dash dry vermouth 
Scotch","DIRECTIONS:  Fill cocktail shaker with an ice cube.
 Add gin and vermouth.
 Stir.
 Strain into a chilled martini glass rimmed with

scotch.

 Garnish with a lemon twist."
"TITLE:  FARE THEE WELL 

MARTINI","DESCRIPTION: A nice touch for long, lingering goodbyes with your para-
mour. Mix well, and he might have to stay longer.

3 ounces gin
1/2 ounce dry vermouth 
1/2 ounce sweet vermouth 
Dash Cointreau","DIRECTIONS:  Fill cocktail shaker with ice.
 Add gin, vermouths, and Cointreau.
 Stir.
 Strain into a chilled martini glass."
TITLE:  IMPERIAL MARTINI,DESCRIPTION: ,"DIRECTIONS:  Fill cocktail shaker with ice.
 Add vodka and vermouth with cracked ice.
 Shake.
 Strain into a martini cocktail glass.
 Garnish with an anchovy-stuffed olive.

 IMPERIAL MARTINI

Drink this and watch a magic crown appear above your
head. Really! 

3 ounces gin
1 ounce dry vermouth 
1/2 teaspoon maraschino liqueur 
4 dashes Angostura bitters 

 Fill cocktail shaker with ice.
 Add gin, vermouth, maraschino liqueur, and bit-ters.
 Stir.
 Strain into a chilled martini glass."
TITLE:  HOT AND DIRTY MARTINI,"DESCRIPTION: Ladies—when ordering this one, add a low, husky purr to
your voice. Shrinks your bar tab instantly.

3 ounces pepper vodka
1/2 ounce dry vermouth 
1 teaspoon olive brine","DIRECTIONS:  Fill cocktail shaker with ice.
 Add vodka, vermouth, and olive brine.
 Shake.
 Strain into a chilled martini glass.
 Garnish with an olive stuffed with pickled

jalapeno pepper."
TITLE:  LONDON MARTINI,"DESCRIPTION: I do say, old bean, let’s bend our elbows and toast Mother
England!  There’s  a  good  chap!  (Bowler  hats  sold  sepa-
rately.)

3 ounces gin
1/2 teaspoon maraschino liqueur 
4 dashes orange bitters 
1/2 teaspoon sugar","DIRECTIONS:  Fill cocktail shaker with ice.
 Add gin, maraschino liqueur, bitters, and sugar.
 Stir.
 Strain into a chilled martini glass.
 Garnish with a lemon twist."
TITLE:  LOW TIDE MARTINI,"DESCRIPTION: Cape Cod in a martini glass. Who needs planes, trains, and
automobiles?

3 ounces vodka 
1/2 ounce dry vermouth 
1 teaspoon clam juice","DIRECTIONS:  Fill cocktail shaker with ice.
 Add vodka, vermouth, and clam juice.
 Shake.
 Strain into a chilled martini glass.
 Garnish with an olive stuffed with smoked clam

and a lemon twist."
TITLE:  OPAL MARTINI,"DESCRIPTION: A liquefied  birthstone  for  October  babies. Taste  this  and
you’ll wish for another when you blow out the candles.

3 ounces gin
1/2 ounce triple sec 
1 ounce fresh orange juice
1/4 teaspoon sugar","DIRECTIONS:  Fill cocktail shaker with ice
 Add gin, triple sec, orange juice, and sugar.
 Shake.
 Strain into a chilled martini glass."
TITLE:  PALL MALL MARTINI,"DESCRIPTION: Toss-off this fact to impress a date: the Pall Mall Martini is
named for a London thoroughfare in the St. James district,
home to Marlborough House. If your date asks a follow-up
question, make a toast and change the subject.

2 ounces gin
1/2 ounce dry vermouth 
1/2 ounce sweet vermouth 
1 teaspoon white crème de menthe 
Dash orange bitters ","DIRECTIONS:  Fill cocktail shaker with ice.
 Add gin, vermouths, crème de menthe, and bitters.
 Stir.
 Strain into a chilled martini glass."
TITLE:  DEAN MARTINI,"DESCRIPTION: Rat Packers of the World, unite! Raise a toast to swingin’
daddy-o’s everywhere.

3 ounces vodka or gin (Bartender’s choice)
Splash red sweet vermouth","DIRECTIONS:  Fill cocktail shaker with ice.
 Add vodka or gin and vermouth.
 Stir.
 Strain into a chilled martini glass.
 Garnish with an orange wheel."
TITLE:  SICILIAN MARTINI,"DESCRIPTION: Truly an offer he can’t refuse. Just don’t ask him about the
family business.

1 1/2 ounces gin 
1/4 ounce dry vermouth
1/2 ounce dry Marsala ","DIRECTIONS:  Fill cocktail shaker with ice.
 Add gin, vermouth, and Marsala.
 Stir briskly.
 Strain into a chilled martini glass.
 Twist lemon over drink and drop into the glass."
TITLE:  RUDE COSMOPOLITAN,"DESCRIPTION: This  one  has  a  surprising  bite, as  if  Jose  Cuervo  took  a
wrong turn at Albuquerque and ended up in your glass.

1 1/4 ounces tequila
1/4 ounce Grand Marnier
Juice from whole lime
1 ounce cranberry juice","DIRECTIONS:  Fill cocktail shaker with ice.
 Add tequila, Grand Marnier, and juices.
 Shake.
 Strain into a chilled martini glass.
 Garnish with an orange peel."
TITLE:  GOLF MARTINI,"DESCRIPTION: So, this must explain golfer’s fashion choices.

4 ounces gin
1 ounce dry vermouth
4 dashes Angostura bitters","DIRECTIONS:  Fill cocktail shaker with ice.
 Add gin, vermouth, and bitters.
 Shake.
 Strain into a chilled martini glass.
 Garnish with an olive."
TITLE:  VELVET BUNNY MARTINI,"DESCRIPTION: Remember  your  favorite  stuffed  animal  from  childhood
while this warms you before bedtime.

1 1/2 ounces vodka 
Dash banana liqueur 
Dash black sambuca","DIRECTIONS:  Fill cocktail shaker with ice.
 Add vodka, banana liqueur, and sambuca.
 Shake.
 Strain into a chilled martini glass.
 Garnish with banana slices."
TITLE:  PRINCESS MARTINI,"DESCRIPTION: She’ll  feel  like  royalty  when  you  present  Her  Highness
with  this  libation. Make  it  a  double  and  she  just  might
knight you.

1 1/2 ounces vodka 
Dash strawberry liqueur","DIRECTIONS:  Fill cocktail shaker with ice.
 Add vodka and strawberry liqueur.
 Shake.
 Strain into a chilled martini glass.
 Squeeze slice of orange over the glass and drop in."
TITLE:  NEW ORLEANS MARTINI,"DESCRIPTION: Iko, Iko! Shake off the workday voodoo with this taste of
the Big Easy.

3 ounces vanilla vodka
1/2 ounce dry vermouth 
1/2 ounce Pernod 
Dash Angostura bitters ","DIRECTIONS:  Fill cocktail shaker with ice.
 Add vodka, vermouth, Pernod, and bitters.
 Shake.
 Strain into a chilled martini glass.
 Garnish with mint sprig."
TITLE:  LEAP YEAR,"DESCRIPTION: This is The Official Drink of February 29th, but we urge
you to throw caution to the wind—make ’em on July 5th.
Or May 13th.

2 ounces gin
1/2 ounce sweet vermouth 
1/2 ounce Grand Marnier 
1/4 teaspoon lime juice","DIRECTIONS:  Fill cocktail shaker with ice.
 Add gin, vermouth, Grand Marnier, and lime juice.
 Shake.
 Strain into a chilled martini glass."
TITLE:  PALM BEACH MARTINI,"DESCRIPTION: A favorite among wealthy Florida socialites.

3 ounces gin
1 teaspoon sweet vermouth 
2 ounces grapefruit juice","DIRECTIONS:  Fill cocktail shaker with ice.
 Add gin, vermouth, and grapefruit juice.
 Shake.
 Strain into a chilled martini glass."
TITLE:  PARK AVENUE MARTINI,"DESCRIPTION: When Eva Gabor told Eddie Arnold, “Darling, I love you,
but give me Park Avenue,” she surely had this one in mind.
Mix, sip, and ponder what the commoners are doing today.

3 ounces gin
1/2 ounce sweet vermouth
1/2 ounce dry vermouth ","DIRECTIONS:  Fill cocktail shaker with ice.
 Add gin and vermouths.
 Shake.
 Strain into a chilled martini glass."
TITLE:  WARSAW,"DESCRIPTION: Surely  the  preferred  choice  of  famous  Poles  like  Lech
Walesa and Count Pulaski.

1 1/2 ounces gin 
1 ounce apple brandy
1 ounce sweet vermouth
1 teaspoon yellow Chartreuse","DIRECTIONS:  Fill cocktail shaker with ice.
 Add gin, apple brandy, vermouth, and Chartreuse.
 Shake.
 Strain into a chilled martini glass."
TITLE:  JOURNALIST,"DESCRIPTION: Stop the presses! This smooth libation will make even the
most reluctant source spill the beans.

2 ounces gin
1 teaspoon dry vermouth
1 teaspoon sweet vermouth
1 teaspoon triple sec
1 teaspoon lime juice
Dash Angostura bitters","DIRECTIONS:  Fill cocktail shaker with ice.
 Add gin, vermouths, triple sec, and lime juice.
 Shake.
 Strain into a chilled martini glass."
TITLE:  ICEBERG,"DESCRIPTION: A nice  accompaniment  to  your  Titanic  viewing  parties.
Garnish with Kleenex.

2 ounces gin
Dash white crème de menthe ","DIRECTIONS:  Fill cocktail shaker with ice.
 Add gin and crème de menthe.
 Shake.
 Strain into a chilled martini glass.
 Garnish with fresh mint."
TITLE:  SMOKY MARTINI,"DESCRIPTION: They say smoke gets in your eyes, but this goes straight to
your head.

3 ounces gin
1/2 ounce dry vermouth
1 teaspoon scotch","DIRECTIONS:  Fill cocktail shaker with ice.
 Add gin, vermouth, and scotch.
 Stir.
 Strain into a chilled martini glass.
 Garnish with lemon twist."
TITLE:  THIRD DEGREE MARTINI,"DESCRIPTION: For loosening the tongues of uncooperative suspects. Mix,
administer, repeat as needed.

3 ounces gin
1 ounce dry vermouth
1/2 ounce Pernod ","DIRECTIONS:  Fill cocktail shaker with ice.
 Add gin, vermouth, and Pernod.
 Shake.
 Strain into a chilled martini glass."
TITLE:  BLENTON,"DESCRIPTION: As James Thurber said, “One martini is all right. Two are
too many, and three are not enough.”

1 1/2 ounces gin 
3/4 ounce dry vermouth
Dash Angostura bitters","DIRECTIONS:  Fill cocktail shaker with ice.
 Add gin, vermouth, and bitters.
 Stir.
 Strain into a chilled martini glass."
TITLE:  BLOODHOUND ,"DESCRIPTION: Turn the tables on this canine detective—pursue doggedly.

1 ounce gin
1/2 ounce dry vermouth 
1/2 ounce sweet vermouth 
1/2 ounce strawberry liqueur ","DIRECTIONS:  Fill cocktail shaker with ice.
 Add gin, vermouths, and strawberry liqueur.
 Shake.
 Strain into a chilled martini glass.
 Drop a whole strawberry into glass."
TITLE:  FINO MARTINI,"DESCRIPTION: As Bob Hope said in The Cat and the Canary: “Let’s all
drink gin and make wry faces.”

2 ounces gin
1/2 ounce fino sherry ","DIRECTIONS:  Fill cocktail shaker with ice.
 Add gin and sherry.
 Stir.
 Strain into a chilled martini glass.
 Garnish with olive or lemon twist."
TITLE:  FLYING DUTCHMAN,"DESCRIPTION: Legend is that this drink’s namesake is a ghostly sea cap-
tain, doomed to sail the seas for all eternity. Can’t be all
bad. At  least  he’s  got  this  tasty  concoction  to  keep  him
company.

Curacao
2 ounces gin
1/4 ounce dry vermouth","DIRECTIONS:  Pour enough curacao into prechilled cocktail glass

to coat sides.

 Twirl glass and coat with curacao.
 Fill cocktail shaker with ice.
 Add gin and vermouth.
 Stir.
 Strain into glass."
TITLE:  MARSALA MARTINI,"DESCRIPTION: Marsala—Italy’s  answer  to  sherry—makes  this  martini
an adventurous departure from the standard. Bongiorno!

3/4 ounce gin
3/4 ounce dry vermouth
3/4 ounce dry Marsala","DIRECTIONS:  Fill cocktail shaker with ice.
 Add gin, vermouth, and Marsala.
 Stir.
 Strain into a chilled martini glass.
 Twist lemon above drink and drop in."
TITLE:  DUTCH MARTINI,"DESCRIPTION: Got a date who hates going Dutch? Change her mind with
these.

2 ounces Dutch genever gin
1/2 ounce dry vermouth ","DIRECTIONS:  Fill cocktail shaker with ice.
 Add gin and vermouth.
 Stir.
 Strain into a chilled martini glass.
 Twist lemon above drink and drop in."
TITLE:  PERFECT,"DESCRIPTION: Once you taste one of these, you’ll quickly grasp the name.

1 1/2 ounces gin 
1/2 ounce dry vermouth 
1/2 ounce sweet vermouth ","DIRECTIONS:  Fill cocktail shaker with ice.
 Add gin and vermouths.
 Stir.
 Strain into a chilled martini glass.
 Garnish with olive or lemon."
TITLE:  PAISLEY MARTINI,"DESCRIPTION: A blatant, and  highly  effective, attempt  to  attract  the
attention of thirsty hippies everywhere.

2 1/4 ounces gin
1/4 ounce dry vermouth
1 teaspoon scotch","DIRECTIONS:  Fill cocktail shaker with ice.
 Add gin, vermouth, and scotch.
 Stir.
 Strain into a chilled martini glass."
TITLE:  RACQUET CLUB MARTINI,"DESCRIPTION: “Biff? Muffy? Shall I order us a round? Fabulous…”

2 ounces gin
1/2 ounce dry vermouth 
2 dashes orange bitters","DIRECTIONS:  Fill cocktail shaker with ice.
 Add gin, vermouth, and bitters.
 Shake until outside of shaker is completely

frosted.

 Strain into a cold martini glass."
TITLE:  MORRO ,"DESCRIPTION: Be like Little Orphan Annie and order “to.”

1 ounce gin
1/2 ounce golden rum 
1/2 ounce lime juice 
1/2 ounce pineapple juice 
Sugar ","DIRECTIONS:  Fill cocktail shaker with ice.
 Add gin, rum, and juices.
 Shake.
 Strain into a sugar-rimmed chilled martini glass."
TITLE:  POMPANO,"DESCRIPTION: Fun  fact:  Pompano  racetrack  in  south  Florida  features
nighttime horse racing. Giddyup!

1 ounce gin
1/2 ounce dry vermouth 
1 ounce grapefruit juice
4 dashes orange bitters","DIRECTIONS:  Fill cocktail shaker with ice.
 Add gin, vermouth, grapefruit juice, and bitters.
 Shake.
 Strain into a chilled cocktail or old-fashioned

glass.

 Garnish with an orange slice.

 ST. LO

Named for the patron saint of the vertically challenged.

1 1/2 ounces gin 
1/2 ounce Calvados 
1/2 ounce lemon juice 
1 teaspoon sugar

 Fill cocktail shaker with ice.
 Add gin, Calvados, lemon juice, and sugar.
 Shake.
 Strain into a chilled martini glass."
TITLE:  PRINCETON,"DESCRIPTION: Adventurous  Ivy  Leaguers  will  enjoy  this  concoction. Sis
boom bah!

1 1/4 ounces gin
3/4 ounce dry vermouth
1/2 ounce lime juice ","DIRECTIONS:  Fill cocktail shaker with ice.
 Add gin, vermouth, and lime juice.
 Shake.
 Strain into a cocktail glass."
TITLE:  RED CLOUD,"DESCRIPTION: So named for the pleasant fog that envelops the drinker’s
brain.

1 1/2 ounces gin 
1/2 ounce apricot liqueur 
1/2 ounce lemon juice 
1 teaspoon grenadine
Dash Angostura bitters ","DIRECTIONS:  Fill cocktail shaker with ice.
 Add gin, apricot liqueur, lemon juice, grenadine,

and bitters.

 Shake.
 Strain into a cocktail glass."
TITLE:  LAVA LAMP MARTINI,"DESCRIPTION: An unusually tasty byproduct of “60s Night” at the coun-
try club.

Splash raspberry liqueur
Splash honey
3 ounces vodka","DIRECTIONS:  Mix raspberry liqueur and honey in a shot glass.
 Fill cocktail shaker with ice.
 Add vodka.
 Shake.
 Strain into a martini glass.
 Spoon in raspberry liqueur and honey mixture."
TITLE:  SECRET MARTINI,"DESCRIPTION: Don’t tell anyone about this one. Keep the recipe to your-
self and indulge in covert actions.

3 ounces gin
1 ounce Lillet Blonde
2 dashes Angostura bitters ","DIRECTIONS:  Fill cocktail shaker with ice.
 Add gin, Lillet Blonde, and bitters.
 Stir.
 Strain into a chilled martini glass."
TITLE:  MONTMARTRE,"DESCRIPTION: The ideal locale for consuming this drink? The tallest point
in Paris, of course.

1 1/2 ounces gin 
1/2 ounce sweet vermouth 
1/2 ounce triple sec ","DIRECTIONS:  Fill cocktail shaker with ice.
 Add gin, vermouth, and triple sec.
 Shake.
 Pour into an old-fashioned glass filled with ice."
TITLE:  MOULIN ROUGE,"DESCRIPTION: Can you make zees drink? Oui! Everybody can-can! 

1 1/2 ounces sloe gin 
1/2 ounce sweet vermouth 
3 dashes Angostura bitters","DIRECTIONS:  Fill cocktail shaker with ice.
 Add sloe gin, vermouth, and bitters.
 Shake.
 Strain into a chilled martini glass."
TITLE:  HELLFIRE CLUB MARTINI,"DESCRIPTION: Emma Peel surely downed one of these after escaping the
Hellfire Club’s sinister clutches.

1 1/2 ounces pepper vodka 
1/2 ounce dry vermouth ","DIRECTIONS:  Fill cocktail shaker with ice.
 Add pepper vodka and dry vermouth.
 Stir.
 Strain into a chilled martini glass.
 Garnish with a jalapeno pepper and a dash of

cayenne pepper."
TITLE:  DIPLOMAT,"DESCRIPTION: The martini strong enough to solve the world’s problems.
Share liberally.

2 ounces dry vermouth
1 ounce sweet vermouth
2 dashes maraschino liqueur","DIRECTIONS:  Fill cocktail shaker with ice.
 Add vermouths and maraschino liqueur.
 Stir.
 Strain into a chilled martini glass.
 Garnish with an orange peel twist."
TITLE:  TRUFFLE MARTINI,"DESCRIPTION: Raise  a  glass  to  toast  the  tireless  work  of  our  porcine
brethren, who  have  selflessly  sniffed  out  underground
truffle troves for generations.

3 1/2 ounces cognac 
Splash lime juice 
Splash Grand Marnier 
7 paper-thin slices black truffle ","DIRECTIONS:  Fill cocktail shaker with ice.
 Add cognac, lime juice, and Grand Marnier and 2

slices of black truffle.

 Shake.
 Strain into a chilled martini glass.
 Garnish with remaining five slices of black truffle."
TITLE:  POMEGRANATE MARTINI,"DESCRIPTION: Persephone, heroine of Greek mythology, was banished to
Hades  for  eating  an  other-worldly  pomegranate. Lucky
you—she took the fall, you get the drink.

2 ounces fresh squeezed pomegranate juice 
2 ounces vodka
1/4 ounce sugar syrup","DIRECTIONS:  Fill cocktail shaker with ice.
 Add pomegranate juice, vodka, and sugar syrup.
 Shake.
 Strain into a chilled martini glass."
TITLE:  COWBOY MARTINI,"DESCRIPTION: A refreshing  respite  for  cowpunchers  both  urban  and
rural. Saddle up!

2 ounces gin
1/2 ounce dry vermouth 
Dash sugar syrup ","DIRECTIONS:  Fill cocktail shaker with ice.
 Add gin, vermouth, and sugar syrup.
 Shake.
 Strain into a chilled martini glass.
 Garnish with a floating mint sprig."
TITLE:  COSMOPOLITAN,"DESCRIPTION: The drink that made Sex in the City chicks teeter in their
Jimmy Choos. Fruity and light, drink a few and get ready
to hear all about your friend’s Mr. Big.

2 ounces lemon-flavored vodka
1 ounce triple sec
1 ounce cranberry juice
1/2 ounce lime juice ","DIRECTIONS:  Fill cocktail shaker with ice.
 Add vodka, triple sec, cranberry juice, and lime

juice.

 Shake.
 Strain into a chilled martini glass.
 Garnish with a lime slice."
TITLE:  FLIRTINI,"DESCRIPTION: Sure  to  make  you  think  the  bartender  is  cute  enough  to
deserve a wink or two.

1/2 ounce raspberry vodka 
1/2 ounce Cointreau 
Splash lime juice 
Splash pineapple juice 
Splash cranberry juice 
5 raspberries
Brut champagne","DIRECTIONS:  Muddle raspberries in bottom of slightly chilled

cocktail glass.

 Fill cocktail shaker with ice.
 Add vodka, Cointreau, and juices.
 Shake.
 Strain into a chilled martini glass.
 Top with champagne.
 Garnish with a mint sprig."
TITLE:  WEMBLEY MARTINI,"DESCRIPTION: Perhaps the reason soccer hooligans often riot at Wembley
is  that  the  bartender  has  run  out  of  this  tasty  treat?  A
promising theory.

3 ounces gin
1/2 ounce dry vermouth 
1 teaspoon apricot brandy
1 teaspoon Calvados","DIRECTIONS:  Fill cocktail shaker with ice.
 Add gin, vermouth, apricot brandy, and Calvados.
 Shake.
 Strain into a chilled martini glass.
 Garnish with a lemon twist."
TITLE:  NEWBURY,"DESCRIPTION: Like the British town and Boston street of the same name,
the Newbury is sweet, posh, and delicious. Perfect for the
parched Anglophile.

1 1/2 ounces gin 
1 ounce sweet vermouth
1/4 teaspoon triple sec","DIRECTIONS:  Fill cocktail shaker with ice.
 Add gin, vermouth, and triple sec.
 Shake.
 Strain into a chilled martini glass.
 Garnish with a lemon twist."
TITLE:  BLUE MARTINI,"DESCRIPTION: The perfect hand candy for the air traveler with a window
seat.

3 ounces vodka
1/2 ounce blue curacao 
Dash Angostura bitters ","DIRECTIONS:  Half-fill cocktail shaker with ice.
 Add vodka, curacao, and bitters.
 Shake.
 Strain into a chilled martini glass.
 Garnish with an olive."
TITLE:  GIRLIE MARTINI,"DESCRIPTION: Careful there, mister—order a “couple of girlies” too loudly,
and your barmates may eye you with suspicion. Proceed
with caution.

Splash dry vermouth 
4 ounces vodka
3 ounces chilled champagne
Dash maraschino liqueur ","DIRECTIONS:  Coat inside of martini glass with dry vermouth.
 Fill cocktail shaker with ice.
 Add vodka, champagne, and maraschino liqueur.
 Stir.
 Strain into the martini glass.
 Garnish with an olive and a cherry."
TITLE:  SOHO,"DESCRIPTION: The decadent way to end a day of shopping and art gallery
exploration.

2 ounces vodka
1/2 ounce vanilla vodka 
1/2 ounce orange curacao 
Dash orange bitters ","DIRECTIONS:  Fill cocktail shaker with ice.
 Add vodkas, orange curacao, and bitters.
 Shake.
 Strain into a martini glass.
 Garnish with a flamed orange peel."
"TITLE:  LONG KISS GOODNIGHT

MARTINI","DESCRIPTION: Like its namesake, this one is sweet and leaves you want-
ing more. Much more.

1/2 ounce vanilla vodka 
1 ounce vodka
1/2 ounce white crème de cacao 
Shaved white chocolate","DIRECTIONS:  Freeze a martini glass with white chocolate on

rim.

 Fill cocktail shaker with ice
 Add vodkas and crème de cacao.
 Shake lightly.
 Strain into the glass.
 Garnish with a chocolate kiss."
TITLE:  BLUE LAGOON,DESCRIPTION: ,"DIRECTIONS:  Fill cocktail shaker with vodka, maraschino

liqueur, and peach juice.

 Add ice.
 Stir.
 Strain into a chilled martini glass.

 BLUE LAGOON

So  you  weren’t  lucky  enough  to  be  shipwrecked  with  a
young Brooke Shields? Join the club. Drown your sorrows
while cursing the name of Christopher Atkins.

2 ounces vodka
1/4 ounce blue curacao
3 ounces pineapple juice 

 Fill cocktail shaker with vodka, curacao, and

pineapple juice.

 Add ice.
 Shake.
 Strain into a chilled martini glass."
TITLE:  GIN AND SIN,"DESCRIPTION: Want to really ruffle the petticoats of your teetotaling Aunt
Gladys? Offer her one of these aptly named combinations,
and  watch  her  scurry  for  the  safety  of  her  Prohibition
League meeting.

1 1/2 ounces gin 
1 ounce orange juice
1 ounce lemon juice
1/2 teaspoon grenadine ","DIRECTIONS:  Fill cocktail shaker with ice.
 Add gin, juices, and grenadine.
 Shake.
 Strain into a chilled martini glass."
"TITLE:  SPECIAL SWEET 

MARTINI","DESCRIPTION: Make it for the girl in your life. Claim you invented it and
named it after her. We won’t tell.

Dash of orange bitters
1/2 ounce gin 
1/2 ounce sweet vermouth ","DIRECTIONS:  Fill cocktail shaker with ice.
 Add bitters, gin, and vermouth.
 Shake.
 Strain into a chilled martini glass."
TITLE:  MEDIUM MARTINI,"DESCRIPTION: If  Starbucks  was  a  bar, this  one  would  be  called  a
“Grande.”

1/4 ounce dry vermouth
1/2 ounce sweet vermouth 
1/3 ounce dry gin","DIRECTIONS:  Fill cocktail shaker with ice.
 Add vermouths and gin.
 Shake.
 Strain into a chilled martini glass."
TITLE:  PINK PUPPY,"DESCRIPTION: Roll over and fetch this one whenever possible. If you bring
me one, I promise to scratch your tummy.

1 1/2 ounces vodka 
1 1/2 ounces gin 
4 1/2 ounces grapefruit juice ","DIRECTIONS:  Fill cocktail shaker with ice.
 Add vodka, gin, and grapefruit juice.
 Shake.
 Strain into a chilled martini glass.
 Garnish with a cherry."
TITLE:  RAZMOPOLITAN,DESCRIPTION: ,"DIRECTIONS:  Fill cocktail shaker with ice.
 Add vodka, lemon juice, and lime cordial.
 Shake.
 Strain into a chilled martini glass.
 Garnish with twist of lemon and a cherry.

 RAZMOPOLITAN

It’s  the  raspberry  that  makes  this  drink  so  sinfully  deli-
cious. But don’t down too many and razz the patrons.

2 1/4 ounces raspberry vodka
1 1/8 ounces triple sec 
1 1/2 ounces cranberry juice 
3/4 ounce lime juice
1 teaspoon caster sugar

 Fill cocktail shaker with ice.
 Add vodka, triple sec, juices, and sugar.
 Shake.
 Strain into a chilled martini glass.
 Twist lime peel above glass and drop in."
TITLE:  SILVER BULLET,"DESCRIPTION: If  the  Lone  Ranger  ever  left  one  of  these  behind, Tonto
would have questioned the Masked Man’s sanity.

1 1/2 ounces gin 
Splash scotch ","DIRECTIONS:  Fill cocktail shaker with ice.
 Add gin and scotch.
 Shake.
 Strain into a chilled martini glass.

(This  drink  may also  be  stirred  and  served  on  the
rocks.)"
TITLE:  MARTINI NOIR,"DESCRIPTION: Drink  this  at  the  beginning  of  a  beautiful  friendship,
preferably with a feisty—yet compliant—gun moll.

2 ounces vodka
1 ounce Chambord","DIRECTIONS:  Fill cocktail shaker with ice.
 Add vodka and Chambord.
 Shake.
 Strain into a chilled martini glass.
 Garnish with lemon twist."
TITLE:  CREOLE MARTINI,"DESCRIPTION: My  great-uncle  Boudreaux  claims  that  this  drink  makes
him handsome, funny, and a really great dancer.

2 ounces gin
1/4 ounce dry vermouth","DIRECTIONS:  Fill cocktail shaker with ice.
 Add gin and vermouth.
 Stir.
 Strain into a chilled martini glass.
 Garnish with jalapeño pepper."
TITLE:  THE FIGGY,"DESCRIPTION: Get jiggy with the figgy.

2 ounces vodka
1/4 ounce fig vodka
1/4 ounce maraschino liqueur
1 ounce half and half ","DIRECTIONS:  Pour vodkas, maraschino liqueur, and cream into

cocktail shaker.

 Fill cocktail shaker with ice.
 Let stand for five seconds.
 Shake.
 Strain into a chilled martini glass.
 Garnish with dark chocolate kiss and a fig slice."
